	a	b	c	d	e	f	7	8	9	10	11	1b	1c	1d	1e	1f	17	18	19	b0	b1
a	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1
b	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
c	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1
d	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1
e	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1
f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1
8	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1
9	1	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	0	1
10	1	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	0
11	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1b	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1c	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
1d	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1e	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
1f	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
17	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
18	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1
19	1	1	1	0	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	0
b0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	1	0	0	1
b1	0	1	1	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0
