ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
10.0286,10.0036,10.0035,10.0278,10.5500,9.8133,10.0000,10.0000,10.0000
10.0286,10.0036,29.9603,10.0248,10.5250,29.3708,10.0000,10.0000,30.0000
10.0286,10.0034,99.3548,10.0248,10.3500,97.3577,10.0000,10.0000,100.0000
10.0286,10.0025,313.8484,10.0286,10.0500,307.5733,10.0000,10.0000,320.0000
10.0286,10.0015,323.3431,10.0287,10.7750,298.2791,10.0000,10.0000,330.0000
10.0286,29.9104,10.0018,10.0333,30.5000,9.8144,10.0000,30.0000,10.0000
10.0286,29.8812,29.9099,10.0281,32.0500,29.3140,10.0000,30.0000,30.0000
10.0286,29.9205,99.1373,10.0316,30.5750,97.1585,10.0000,30.0000,100.0000
10.0286,29.8882,312.9301,10.0268,31.4750,187.1553,10.0000,30.0000,320.0000
10.0286,29.9105,322.2792,10.0157,31.7500,180.3935,10.0000,30.0000,330.0000
10.0286,98.8584,9.9925,10.0346,50.2000,9.7948,10.0000,100.0000,10.0000
10.0287,98.8646,29.9119,10.0281,49.4500,29.3249,10.0000,100.0000,30.0000
10.0286,98.8496,98.9081,9.9972,49.5000,74.6998,10.0000,100.0000,100.0000
10.0286,98.8606,311.4932,10.0259,48.0500,9.3786,10.0000,100.0000,320.0000
10.0286,98.8582,321.0737,10.0375,48.3667,8.5396,10.0000,100.0000,330.0000
10.0286,312.6860,9.9883,10.0524,51.1000,4.0035,10.0000,320.0000,10.0000
10.0286,312.7626,29.8361,10.0560,45.3000,4.2420,10.0000,320.0000,30.0000
10.0286,312.7109,98.8974,10.0566,51.1000,4.7313,10.0000,320.0000,100.0000
10.0286,312.7795,312.7338,10.0011,51.1000,5.8225,10.0000,320.0000,320.0000
10.0286,312.8431,313.2167,10.0111,51.1000,5.8369,10.0000,320.0000,330.0000
10.0286,322.3496,10.0001,10.0307,44.5500,4.1021,10.0000,330.0000,10.0000
10.0287,322.1670,29.8903,10.0573,50.8000,4.2699,10.0000,330.0000,30.0000
10.0286,322.1150,98.9899,10.0530,51.1000,4.7176,10.0000,330.0000,100.0000
10.0285,322.2195,311.9861,10.0355,51.1000,5.8102,10.0000,330.0000,320.0000
10.0286,322.4366,322.4130,10.0178,51.1000,5.8380,10.0000,330.0000,330.0000
30.0252,10.0031,10.0019,30.0355,10.6500,9.8139,30.0000,10.0000,10.0000
30.0252,10.0033,29.9589,30.0253,10.0750,29.3804,30.0000,10.0000,30.0000
30.0250,10.0030,99.3628,30.0387,10.4500,97.3797,30.0000,10.0000,100.0000
30.0252,10.0033,313.7917,29.9973,10.3500,201.4283,30.0000,10.0000,320.0000
30.0251,10.0033,323.3829,30.0301,10.4750,263.5702,30.0000,10.0000,330.0000
30.0252,29.9158,9.9950,30.0267,32.2750,9.7999,30.0000,30.0000,10.0000
30.0254,29.9245,29.9247,30.0391,30.6000,29.3306,30.0000,30.0000,30.0000
