ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
10.0288,9.9995,9.9996,11.0296,11.4000,9.7796,10.0000,10.0000,10.0000
10.0287,9.9994,99.1053,11.0142,10.8750,96.9420,10.0000,10.0000,100.0000
10.0287,9.9988,388.0043,11.0166,11.1250,379.4894,10.0000,10.0000,400.0000
10.0287,9.9953,665.2726,11.0122,11.2750,650.5815,10.0000,10.0000,700.0000
10.0287,9.9915,931.7134,11.0114,10.8500,911.0871,10.0000,10.0000,1000.0000
10.0287,97.8556,9.9774,11.0079,54.9500,9.7638,10.0000,100.0000,10.0000
10.0287,97.8465,97.8089,11.0188,53.0250,95.6448,10.0000,100.0000,100.0000
10.0287,97.7174,380.9295,10.9409,57.6500,372.5595,10.0000,100.0000,400.0000
10.0288,97.5143,651.6365,10.9980,58.0250,637.3241,10.0000,100.0000,700.0000
10.0287,97.6192,911.7360,10.8337,56.1750,891.5240,10.0000,100.0000,1000.0000
10.0287,378.3347,9.9127,4.6821,44.6500,7.5999,10.0000,400.0000,10.0000
10.0287,375.2382,95.0611,9.1259,50.8667,73.6010,10.0000,400.0000,100.0000
10.0287,372.3473,372.0349,10.3162,51.0000,282.3183,10.0000,400.0000,400.0000
10.0287,370.7785,619.8974,10.7569,52.2333,468.3361,10.0000,400.0000,700.0000
10.0287,368.1686,843.5303,10.7548,52.1333,625.5943,10.0000,400.0000,1000.0000
10.0286,647.5733,9.8771,10.5160,46.0000,4.5126,10.0000,700.0000,10.0000
10.0288,649.3925,96.5424,9.9533,44.6000,44.1460,10.0000,700.0000,100.0000
10.0287,644.3934,369.0166,10.9326,44.5000,169.8631,10.0000,700.0000,400.0000
10.0287,644.6546,643.8635,9.8358,52.0000,290.6971,10.0000,700.0000,700.0000
10.0288,634.3198,824.6450,10.2896,49.6500,376.2884,10.0000,700.0000,1000.0000
10.0287,923.8262,9.9850,8.1854,47.0000,3.2807,10.0000,1000.0000,10.0000
10.0286,917.2083,97.1034,9.6993,48.0000,32.1373,10.0000,1000.0000,100.0000
10.0287,910.4949,366.4110,10.8497,49.0000,121.5737,10.0000,1000.0000,400.0000
10.0287,904.7870,609.8921,10.9002,49.6000,200.9859,10.0000,1000.0000,700.0000
10.0286,897.4075,894.5622,10.6788,51.9000,294.9367,10.0000,1000.0000,1000.0000
99.9969,10.0007,10.0010,100.4098,11.6500,9.7938,100.0000,10.0000,10.0000
99.9967,10.0012,99.0724,100.4667,11.0000,96.9016,100.0000,10.0000,100.0000
99.9972,10.0004,386.7021,99.2623,11.7250,378.1712,100.0000,10.0000,400.0000
99.9951,10.0010,662.1893,100.4067,11.2000,647.6133,100.0000,10.0000,700.0000
99.9948,10.0004,927.4947,100.4337,11.4750,907.1268,100.0000,10.0000,1000.0000
99.9944,97.8029,9.9737,100.4221,58.7750,9.7669,100.0000,100.0000,10.0000
99.9972,97.7949,97.7499,100.3809,55.6250,95.6029,100.0000,100.0000,100.0000
99.9999,97.7442,379.9307,100.2928,55.6250,371.6237,100.0000,100.0000,400.0000
99.9957,97.6771,649.3301,100.3916,58.1750,635.0900,100.0000,100.0000,700.0000
99.9981,97.6573,905.6261,100.3335,55.5250,885.6148,100.0000,100.0000,1000.0000
99.9995,383.7164,9.9734,19.7114,49.4000,7.2653,100.0000,400.0000,10.0000
99.9978,383.4109,96.8421,21.9535,48.2000,70.0528,100.0000,400.0000,100.0000
99.9971,374.7077,374.4334,62.8893,48.8000,267.9384,100.0000,400.0000,400.0000
99.9986,375.4887,628.6333,16.0538,50.0333,443.1616,100.0000,400.0000,700.0000
99.9939,373.3611,860.6510,24.3210,53.5000,585.5304,100.0000,400.0000,1000.0000
99.9996,655.4982,9.9050,9.9781,57.3000,4.3030,100.0000,700.0000,10.0000
99.9952,655.2730,97.4741,10.1035,57.7000,42.9356,100.0000,700.0000,100.0000
99.9977,648.2750,370.8506,13.7233,55.4000,164.1964,100.0000,700.0000,400.0000
