ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
10.0269,9.9978,9.9979,10.9939,10.0000,9.7777,10.0000,10.0000,10.0000
10.0264,10.0004,99.1172,11.0759,10.0500,96.9486,10.0000,10.0000,100.0000
10.0272,10.0012,933.6539,10.9990,10.0750,913.2059,10.0000,10.0000,1000.0000
10.0264,98.5326,9.9924,10.9901,99.3750,9.7805,10.0000,100.0000,10.0000
10.0267,98.6117,98.5633,10.9978,99.3750,96.4270,10.0000,100.0000,100.0000
10.0267,98.5384,924.7541,11.0112,99.3250,904.5994,10.0000,100.0000,1000.0000
10.0266,865.5913,9.7157,10.9952,871.3000,9.5162,10.0000,1000.0000,10.0000
10.0263,873.9871,92.4513,11.0634,883.8000,90.4359,10.0000,1000.0000,100.0000
10.0266,871.8530,870.3474,11.0118,882.2750,851.4307,10.0000,1000.0000,1000.0000
99.8049,10.0011,10.0012,100.1149,11.0000,9.7974,100.0000,10.0000,10.0000
99.8317,10.0000,99.1054,100.1048,10.0000,96.9452,100.0000,10.0000,100.0000
99.8089,10.0013,931.1941,100.1352,10.2500,910.7864,100.0000,10.0000,1000.0000
99.7918,98.5492,9.9857,99.9245,108.1750,9.7670,100.0000,100.0000,10.0000
99.7759,98.6108,98.6034,100.1881,98.9250,96.4537,100.0000,100.0000,100.0000
99.8343,98.4300,920.6552,100.1459,105.8750,900.5571,100.0000,100.0000,1000.0000
99.8457,864.0083,9.6900,100.1175,892.1750,9.4855,100.0000,1000.0000,10.0000
99.8222,870.3886,92.4255,100.1937,881.2500,90.4013,100.0000,1000.0000,100.0000
99.7871,867.7829,865.8144,100.1709,873.6750,846.7056,100.0000,1000.0000,1000.0000
978.1582,9.9995,9.9996,904.0406,11.0000,9.7796,1000.0000,10.0000,10.0000
978.6612,10.0001,98.9632,902.1863,10.2500,96.8139,1000.0000,10.0000,100.0000
977.7838,9.9975,914.5171,880.8708,10.2500,894.3340,1000.0000,10.0000,1000.0000
977.8635,98.3290,9.9859,872.7200,100.9000,9.7814,1000.0000,100.0000,10.0000
978.3491,98.2658,98.2490,878.9194,105.7000,96.1074,1000.0000,100.0000,100.0000
978.0494,98.1087,899.8990,850.2248,105.4750,880.0688,1000.0000,100.0000,1000.0000
978.5954,846.8504,9.6387,695.5247,917.6500,9.4299,1000.0000,1000.0000,10.0000
978.9744,840.3971,91.9334,678.7071,921.9750,89.9260,1000.0000,1000.0000,100.0000
979.6152,847.9036,842.3118,639.8571,940.0500,823.8807,1000.0000,1000.0000,1000.0000
